origin,destination
1,68
2,68
3,68
4,1
5,1
3,1
6,68
7,68
8,68
9,68
10,68
11,68
12,68
13,68
14,68
15,68
16,68
17,68
18,68
19,68
20,68
21,68
22,68
3,68
23,68
24,68
5,68
25,68
26,68
27,68
28,68
29,68
30,68
31,68
32,68
2,68
33,68
34,68
4,68
36,68
19,1
14,1
20,1
36,1
68,1
37,1
3,1
23,1
21,1
15,68
24,68
35,68
1,68
3,68
24,1
44,1
16,1
11,1
14,1
4,1
13,1
34,1
27,1
35,1
26,1
20,1
45,1
15,1
46,1
28,1
47,1
68,1
2,1
3,1
48,1
8,1
49,1
33,1
5,1
29,1
21,1
42,1
18,1
10,1
12,1
51,1
8,68
21,68
11,68
39,68
21,1
11,68
20,68
45,68
6,68
67,1
9,1
49,1
20,1
